2024-01-06 19:29:51 0 [Note] Starting MariaDB 10.4.28-MariaDB source revision c8f2e9a5c0ac5905f28b050b7df5a9ffd914b7e7 as process 25820
2024-01-06 19:29:51 0 [Note] InnoDB: Mutexes and rw_locks use Windows interlocked functions
2024-01-06 19:29:51 0 [Note] InnoDB: Uses event mutexes
2024-01-06 19:29:51 0 [Note] InnoDB: Compressed tables use zlib 1.2.12
2024-01-06 19:29:51 0 [Note] InnoDB: Number of pools: 1
2024-01-06 19:29:51 0 [Note] InnoDB: Using SSE2 crc32 instructions
2024-01-06 19:29:51 0 [Note] InnoDB: Initializing buffer pool, total size = 16M, instances = 1, chunk size = 16M
2024-01-06 19:29:51 0 [Note] InnoDB: Completed initialization of buffer pool
2024-01-06 19:29:51 0 [Note] InnoDB: Starting crash recovery from checkpoint LSN=300288
2024-01-06 19:29:51 0 [Warning] InnoDB: Are you sure you are using the right ib_logfiles to start up the database? Log sequence number in the ib_logfiles is 300288, less than the log sequence number in the first system tablespace file header, 1665577.
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=238] with future log sequence number 1496892
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=420] with future log sequence number 1566313
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=300] with future log sequence number 1566313
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=419] with future log sequence number 1551623
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=299] with future log sequence number 1551623
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=418] with future log sequence number 1546806
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=298] with future log sequence number 1546806
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=417] with future log sequence number 1546358
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=297] with future log sequence number 1546358
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=435] with future log sequence number 1545356
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=296] with future log sequence number 1545356
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=434] with future log sequence number 1540398
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=295] with future log sequence number 1540398
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=416] with future log sequence number 1499052
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=294] with future log sequence number 1499052
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=415] with future log sequence number 1499008
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=293] with future log sequence number 1499008
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=436] with future log sequence number 1537729
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=292] with future log sequence number 1537729
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=414] with future log sequence number 1529917
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=291] with future log sequence number 1529917
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=413] with future log sequence number 1529628
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=290] with future log sequence number 1529628
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=412] with future log sequence number 1500300
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=289] with future log sequence number 1500300
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=411] with future log sequence number 1499589
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=288] with future log sequence number 1499589
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=410] with future log sequence number 1501367
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=287] with future log sequence number 1501367
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=432] with future log sequence number 1498788
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=286] with future log sequence number 1498788
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=433] with future log sequence number 1498702
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=285] with future log sequence number 1498702
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=409] with future log sequence number 1498600
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=284] with future log sequence number 1498600
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=407] with future log sequence number 1498514
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=283] with future log sequence number 1498514
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=431] with future log sequence number 1498428
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=282] with future log sequence number 1498428
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=406] with future log sequence number 1498342
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=281] with future log sequence number 1498342
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=97, page number=5] with future log sequence number 1639578
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=97, page number=4] with future log sequence number 1639563
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=97, page number=3] with future log sequence number 1639544
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=97, page number=2] with future log sequence number 1634476
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=97, page number=1] with future log sequence number 1634184
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=96, page number=5] with future log sequence number 1604646
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=96, page number=4] with future log sequence number 1604132
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=96, page number=3] with future log sequence number 1603633
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=96, page number=2] with future log sequence number 1604646
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=96, page number=1] with future log sequence number 1604354
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=2, page number=8] with future log sequence number 1557712
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=95, page number=5] with future log sequence number 1539960
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=95, page number=4] with future log sequence number 1539941
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=95, page number=3] with future log sequence number 1539926
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=95, page number=2] with future log sequence number 1528594
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=439] with future log sequence number 1585634
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=95, page number=1] with future log sequence number 1528302
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=2, page number=7] with future log sequence number 1563951
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=94, page number=3] with future log sequence number 1473388
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=94, page number=2] with future log sequence number 1470713
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=94, page number=1] with future log sequence number 1469210
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=93, page number=16] with future log sequence number 1463985
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=93, page number=15] with future log sequence number 1463985
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=93, page number=14] with future log sequence number 1461264
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=93, page number=13] with future log sequence number 1444316
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=93, page number=12] with future log sequence number 1427384
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=93, page number=11] with future log sequence number 1410452
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=93, page number=10] with future log sequence number 1393520
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=93, page number=9] with future log sequence number 1376588
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=93, page number=8] with future log sequence number 1359656
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=93, page number=7] with future log sequence number 1342724
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=93, page number=6] with future log sequence number 1308740
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=93, page number=5] with future log sequence number 1308740
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=93, page number=4] with future log sequence number 1464020
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=93, page number=3] with future log sequence number 1464222
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=93, page number=2] with future log sequence number 1464020
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=93, page number=1] with future log sequence number 1274403
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=408] with future log sequence number 1272964
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=90, page number=4] with future log sequence number 1248614
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=90, page number=3] with future log sequence number 1248843
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=90, page number=2] with future log sequence number 1248614
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=90, page number=1] with future log sequence number 1247067
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=437] with future log sequence number 1497628
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=438] with future log sequence number 1601585
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=2, page number=2] with future log sequence number 1563951
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=2, page number=6] with future log sequence number 1660587
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=2, page number=5] with future log sequence number 1652148
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=2, page number=3] with future log sequence number 1652148
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=2, page number=4] with future log sequence number 1665192
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=1, page number=3] with future log sequence number 1664785
2024-01-06 19:29:51 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=9] with future log sequence number 1664816
2024-01-06 19:29:51 0 [ERROR] InnoDB: Page [page id: space=0, page number=7] log sequence number 1633980 is in the future! Current system log sequence number 300306.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Page [page id: space=0, page number=2] log sequence number 1601585 is in the future! Current system log sequence number 300306.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Page [page id: space=0, page number=11] log sequence number 1664915 is in the future! Current system log sequence number 300306.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Page [page id: space=0, page number=6] log sequence number 1566767 is in the future! Current system log sequence number 300306.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Page [page id: space=0, page number=301] log sequence number 1566767 is in the future! Current system log sequence number 300306.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Page [page id: space=0, page number=45] log sequence number 1571372 is in the future! Current system log sequence number 300306.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Page [page id: space=0, page number=306] log sequence number 1571372 is in the future! Current system log sequence number 300306.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Page [page id: space=0, page number=46] log sequence number 1576785 is in the future! Current system log sequence number 300306.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Page [page id: space=0, page number=309] log sequence number 1576785 is in the future! Current system log sequence number 300306.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Page [page id: space=0, page number=47] log sequence number 1572575 is in the future! Current system log sequence number 300306.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Page [page id: space=0, page number=311] log sequence number 1572575 is in the future! Current system log sequence number 300306.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Page [page id: space=0, page number=48] log sequence number 1575065 is in the future! Current system log sequence number 300306.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Page [page id: space=0, page number=312] log sequence number 1575065 is in the future! Current system log sequence number 300306.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Page [page id: space=0, page number=49] log sequence number 1605808 is in the future! Current system log sequence number 300306.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Page [page id: space=0, page number=313] log sequence number 1605808 is in the future! Current system log sequence number 300306.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Page [page id: space=0, page number=50] log sequence number 1606076 is in the future! Current system log sequence number 300306.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Page [page id: space=0, page number=314] log sequence number 1606076 is in the future! Current system log sequence number 300306.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Page [page id: space=0, page number=51] log sequence number 1609270 is in the future! Current system log sequence number 300306.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Page [page id: space=0, page number=315] log sequence number 1609270 is in the future! Current system log sequence number 300306.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Page [page id: space=0, page number=52] log sequence number 1493661 is in the future! Current system log sequence number 300306.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Page [page id: space=0, page number=316] log sequence number 1493661 is in the future! Current system log sequence number 300306.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Page [page id: space=0, page number=53] log sequence number 1610743 is in the future! Current system log sequence number 300306.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Page [page id: space=0, page number=317] log sequence number 1610743 is in the future! Current system log sequence number 300306.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Page [page id: space=0, page number=54] log sequence number 1611150 is in the future! Current system log sequence number 300306.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Page [page id: space=0, page number=318] log sequence number 1611150 is in the future! Current system log sequence number 300306.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Page [page id: space=0, page number=55] log sequence number 1616788 is in the future! Current system log sequence number 300306.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Page [page id: space=0, page number=319] log sequence number 1616788 is in the future! Current system log sequence number 300306.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Page [page id: space=0, page number=56] log sequence number 1620119 is in the future! Current system log sequence number 300306.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Page [page id: space=0, page number=320] log sequence number 1620119 is in the future! Current system log sequence number 300306.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Page [page id: space=0, page number=57] log sequence number 1620524 is in the future! Current system log sequence number 300306.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Page [page id: space=0, page number=321] log sequence number 1620524 is in the future! Current system log sequence number 300306.
2024-01-06 19:29:51 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
